,순위,영화명,개봉일,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,대표장르,감독,배우
965,966,SIFF2022 선택단편3,정보없음,2176000,0.00%,2176000,272,272,1,3,한국,한국,정보없음,정보없음,정보없음,기타,정보없음,정보없음
966,967,내가 못 나가는 것도 아닌데,2022-08-24,2000000,0.00%,2000000,269,269,5,66,한국,한국,김충길 필름,김충길 필름,12세이상관람가,드라마,김충길,"김충길,이원선,한동원,신연재,임성균,이사라,김광태,김우현,이도군,이원진,정회동"
967,967,뉴욕의 왕,1990-12-12,538000,0.00%,3357000,269,1019,1,9,미국,미국,찰리채플린프로덕션,(주)엣나인필름,연소자관람가,코미디,찰리 채플린,"맥신 오드리,찰리 채플린"
968,967,"살로, 소돔의 120일",정보없음,1830000,0.00%,3473500,269,509,1,5,이탈리아,"이탈리아,프랑스",정보없음,정보없음,정보없음,드라마,피에르 파올로 파솔리니,"파올로 보나첼리,카테리나 보라토"
969,967,왕자 호동,정보없음,538000,0.00%,5628000,269,2454,1,9,한국,한국,정보없음,정보없음,정보없음,사극,한형모,"김진규,엄앵란"
970,971,SIFF2022 단편경쟁3,정보없음,2144000,0.00%,2144000,268,268,1,3,한국,한국,정보없음,정보없음,정보없음,기타,정보없음,정보없음
971,971,시마론,정보없음,591500,0.00%,5096500,268,2526,1,21,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음
972,973,마스터,2013-07-11,2256000,0.00%,285551800,267,37237,3,43,미국,미국,정보없음,(주)영화사 진진,청소년관람불가,드라마,폴 토마스 앤더슨,"호와킨 피닉스,필립 세이모어 호프만,에이미 아담스"
973,973,콰이강의 다리,1962-11-03,445000,0.00%,25870500,267,12900,1,10,미국,미국,콜럼비아 픽쳐스 코포레이션,정보없음,연소자관람가,드라마,데이빗 린,"알렉 기네스,하야카와 세슈,잭 호킨스"
974,975,붉은 사막,정보없음,1757000,0.00%,4336000,266,662,1,10,이탈리아,"이탈리아,프랑스",정보없음,정보없음,정보없음,드라마,미켈란젤로 안토니오니,"모니카 비티,리차드 해리스"
975,976,나의 산티아고,2016-07-14,2020000,0.00%,727441732,265,95030,1,3,독일,독일,정보없음,(주)영화사 진진,12세이상관람가,코미디,줄리아 폰 하인츠,"카롤리네 슈허,데비드 스트리에소브,마르티나 게덱,카타리나 탈바흐"
976,976,아웃 오브 아프리카,1986-12-24,1490000,0.00%,5276000,265,1132,1,3,미국,미국,"미라지,유니버셜 픽쳐스",정보없음,국민학생관람불가,드라마,시드니 폴락,"메릴 스트립,로버트 레드포드"
977,978,가스등,정보없음,637000,0.00%,10635000,264,4803,1,33,미국,미국,정보없음,정보없음,정보없음,스릴러,조지 쿠커,"찰스 보이어,잉그리드 버그만,조셉 코튼"
978,978,긴 하루,2021-12-30,2551400,0.00%,3901600,264,413,11,79,한국,한국,(주)와우,하준사,12세이상관람가,드라마,조성규,"김동완,남보라,서준영,선민,김혜나,김성제,이다혜,신소율,정연주"
979,978,데쓰 캘린더,2022-06-23,2492500,0.00%,2492500,264,264,17,115,프랑스,프랑스,정보없음,THE 픽쳐스,15세이상관람가,공포(호러),정보없음,정보없음
980,978,영화사 2부,정보없음,1823000,0.00%,4032000,264,611,1,2,프랑스,프랑스,정보없음,정보없음,정보없음,다큐멘터리,장 뤽 고다르,정보없음
981,978,위대한 독재자,1988-11-19,528000,0.00%,29075000,264,4444,1,9,미국,미국,정보없음,"(주)엣나인필름,㈜영화사 백두대간",연소자관람가,코미디,찰리 채플린,"찰리 채플린,파울레트 고다드"
982,983,아사코,2019-03-14,2286000,0.00%,137848619,263,16020,2,39,일본,일본,정보없음,(주)이수C&E,12세이상관람가,드라마,하마구치 류스케,"히가시데 마사히로,카라타 에리카"
983,983,안나 카레니나,2018-06-29,2412000,0.00%,70409900,263,5399,1,9,한국,한국,(주)비프로,(주)비프로,12세이상관람가,뮤지컬,신예지,에카테리나 구세바
984,985,날으는 해병대,정보없음,524000,0.00%,2961000,262,1198,1,13,미국,미국,정보없음,정보없음,정보없음,액션,니콜라스 레이,"존 웨인,로버트 라이언"
985,985,언더독,2019-01-16,2096000,0.00%,1500183830,262,195827,1,2,한국,한국,(주)오돌또기,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,"오성윤,이춘백","도경수,박소담,박철민,강석,이준혁,연지원,전숙경,박중금,명순용,서승원,이지운,김정은,진양욱,탁원정,송정희,한신정"
986,987,SOS 일촉즉발,정보없음,522000,0.00%,686000,261,343,1,18,프랑스,프랑스,정보없음,정보없음,정보없음,어드벤처,크리스티앙 자크,정보없음
987,987,검스녀 젊은엄마,2022-03-08,1316000,0.00%,1316000,261,261,21,23,한국,한국,(주)로드하우스,노바엔터테인먼트,청소년관람불가,성인물(에로),정민수,정보없음
988,987,멋쟁이,정보없음,455000,0.00%,1943000,261,632,1,16,미국,미국,정보없음,정보없음,정보없음,코미디,윌리엄 와일러,"오드리 헵번,피터 오툴,엘리 왈라치"
989,987,수면의 과학,2006-12-21,2244000,0.00%,415699200,261,58711,2,23,프랑스,프랑스,"퍼티잔,고몽,프랑스3시네마","(주)영화사 안다미로,(주)엣나인필름,(주)스폰지이엔티",15세이상관람가,코미디,미셸 공드리,"가엘 가르시아 베르날,샤를로뜨 갱스부르"
990,987,젊은 알바의 맛,2022-05-06,1291000,0.00%,1291000,261,261,20,21,한국,한국,(주)로드하우스,노바엔터테인먼트,청소년관람불가,성인물(에로),이승기,정보없음
991,992,라임라이트,1989-08-26,535000,0.00%,7718500,260,1479,1,12,미국,미국,유나이티드 아티스트,"(주)엣나인필름,유나이티드 아티스트",연소자관람가,드라마,찰리 채플린,"찰리 채플린,클레어 블룸"
