,순위,영화명,개봉일,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,대표장르,감독,배우
1489,1490,SIPFF2022 한국단편경쟁 2,정보없음,1130000,0.00%,1130000,113,113,1,2,한국,한국,정보없음,정보없음,정보없음,기타,정보없음,정보없음
1490,1490,과거가 없는 남자,2005-10-14,780000,0.00%,16832500,113,2677,1,7,핀란드,핀란드,판도라 필름프로덕션,(주)영화랑,12세관람가,코미디,아키 카우리스마키,"마르꾸 펠톨라,카티 오우티넨"
1491,1490,군도: 민란의 시대,2014-07-23,1356000,0.00%,36991750499,113,4775924,1,1,한국,한국,"(주)영화사 월광,(주)쇼박스",(주)쇼박스,15세이상관람가,사극,윤종빈,"하정우,강동원,최귀화,이성민,조진웅,마동석,윤지혜,정만식,김성균,김재영,주진모,이경영,신나라,정두홍,조남희,조현도,김광현,김병주,김영철,김지선,김태수,노남석,송영창,이경영,김병옥,주영호,한예리,김시은,김해숙,정대용,정재헌,박명신,임현성,강신철,윤경호"
1492,1490,로맨스그레이,정보없음,171000,0.00%,3671000,113,1718,1,8,한국,한국,신필름,정보없음,12세이상관람가,드라마,신상옥,"김승호,최은희"
1493,1490,물망초,정보없음,226000,0.00%,12398000,113,5512,1,9,한국,한국,정보없음,정보없음,정보없음,드라마,최훈,"최은희,윤정희"
1494,1490,희망의 건너편,정보없음,818000,0.00%,1062000,113,149,1,2,핀란드,"핀란드,독일",정보없음,정보없음,정보없음,코미디,아키 카우리스마키,"사카리 쿠오스마넨,빌레 버타넨"
1495,1496,라라와 크리스마스 요정,2021-12-15,629000,0.00%,42282640,112,5138,3,10,노르웨이,노르웨이,정보없음,(주)트리플픽쳐스,전체관람가,애니메이션,정보없음,정보없음
1496,1496,배니싱 포인트,정보없음,780000,0.00%,780000,112,112,1,2,미국,미국,정보없음,정보없음,정보없음,액션,리차드 C. 사라피안,"배리 뉴만,클레이브 리틀,샬롯 램플링"
1497,1498,DIFF2022 경쟁2,정보없음,588000,0.00%,588000,111,111,1,2,한국,한국,정보없음,정보없음,정보없음,기타,정보없음,정보없음
1498,1498,멍하고 혼돈스러운,정보없음,775000,0.00%,775000,111,111,1,2,미국,미국,정보없음,정보없음,정보없음,코미디,리차드 링클레이터,"제이슨 런던,조이 로렌 아담스,밀라 요보비치,윌리 위긴스,매튜 매커너히"
1499,1498,밤이 울고 있다,정보없음,111000,0.00%,424000,111,236,1,4,서독,서독,정보없음,정보없음,정보없음,멜로/로맨스,마이클 앤더슨,"로버트 와그너,나탈리 우드"
1500,1498,오니바바,정보없음,748000,0.00%,748000,111,111,1,2,일본,일본,정보없음,정보없음,정보없음,공포(호러),신도 카네토,오토와 노부코
1501,1498,"우리의 식생활, 멸종을 부르다",정보없음,1102000,0.00%,1102000,111,111,1,2,영국,영국,정보없음,정보없음,정보없음,다큐멘터리,정보없음,정보없음
1502,1498,원스 어폰 어 타임... 인 할리우드,2019-09-25,1112000,0.00%,2297273510,111,281276,1,4,미국,미국,정보없음,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,청소년관람불가,드라마,쿠엔틴 타란티노,"레오나르도 디카프리오,브래드 피트,마고 로비,에밀 허쉬,마가렛 퀄리,티모시 올리펀트,줄리아 버터스,오스틴 버틀러,다코타 패닝,브루스 던,마이크 모,루크 페리,데미안 루이스,알 파치노,커트 러셀,조 벨"
1503,1498,필라델피아 스토리,정보없음,288000,0.00%,8194000,111,3889,1,5,미국,미국,정보없음,정보없음,정보없음,코미디,조지 쿠커,"캐리 그랜트,캐서린 헵번,제임스 스튜어트"
1504,1505,과거로부터,정보없음,250000,0.00%,1621000,110,462,1,12,미국,미국,정보없음,정보없음,정보없음,스릴러,자크 투르뇌르,"로버트 미첨,커크 더글라스,제인 그리어,론다 플레밍"
1505,1505,명당,2018-09-19,550000,0.00%,17901325524,110,2087584,1,1,한국,한국,(주)주피터필름,플러스엠 엔터테인먼트,12세이상관람가,사극,박희곤,"조승우,송영재,지성,김성균,백윤식,문채원,유재명,박충선,이원근,김민재,강태오,이가희,이규섭,이동희,이세희,이수아,이성훈,이유리,이정현,김준영,이주연,이창석,김진혁,안성봉,김하림,박기태,임지은,정재용,정재헌,박지현,정한길,정혜경,조성환,최선호,김규선,김도연,김동규,김동현,최우석,홍은진,홍준호,김선문,김서현,김서연,김기태,허성태,전신환,손성찬,홍완표,정종열,심희섭,이육헌,이종윤,백인권,배진호,조현식,이정민,이정빈,이승철"
1506,1505,지구 최후의 날,정보없음,220000,0.00%,1911000,110,953,1,12,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음
1507,1505,파리 텍사스,1987-08-29,807000,0.00%,6186000,110,922,1,7,프랑스,"프랑스,서독,영국","돈 심슨/제리부룩하이머 필름,파라마운트 픽쳐스",정보없음,미성년자관람불가,드라마,빔 벤더스,"해리 딘 스탠튼,나스타샤 킨스키,헌터 카슨"
1508,1509,DIFF2022 경쟁9,정보없음,572000,0.00%,572000,109,109,1,2,한국,한국,정보없음,정보없음,정보없음,기타,정보없음,정보없음
1509,1509,감각의 제국,2000-04-01,788000,0.00%,5167000,109,762,1,1,일본,일본,"오시마 프로덕션즈,아르고스필름즈",패스21엔터테인먼트,18세관람가,성인물(에로),오시마 나기사,"나카지마 아오이,후지 타츠야,마츠다 에이코"
1510,1509,뱅드림! 로젤리아 에피소드 Ⅱ : 송 아이 엠,2021-09-09,1020400,0.00%,147062640,109,15807,3,20,일본,일본,정보없음,(주)애니플러스,전체관람가,애니메이션,카키모토 코다이,"아이바 아이나,쿠도 하루카,나카시마 유키,사쿠라가와 메구,시자키 카논"
1511,1509,사랑의 매혹,정보없음,218000,0.00%,2249000,109,786,1,10,미국,미국,정보없음,정보없음,정보없음,멜로/로맨스,스탠리 도넌,"래리 파크스,엘리자베스 테일러"
1512,1509,수상한 그녀,2014-01-22,594000,0.00%,62721416849,109,8660760,1,2,한국,한국,"(주)예인플러스엔터테인먼트,아이앤코스모스(주)시네와이즈필름",(주)씨제이이엔엠,15세이상관람가,드라마,황동혁,"심은경,나문희,박인환,성동일,이진욱,김현숙,황정민,김슬기,박형우,신재훈,박인환,이태식,박재홍,서진호,양태규,정상원,정은임,정종혁,조명행,진영,한상경,한흥석,김경아,이주희,김동욱,김동희,김민준,김선하,김순찬,김영웅,김용진,김재섭,김정원,박선희,한지은,김수현,황영희,장광,전우재,강필선,김가희,황승언,임현성,정인기,이상희,하연주,박혜진,김남순,조혜선"
1513,1514,애프터: 관계의 함정,2021-10-27,991100,0.00%,168951150,108,19354,14,39,미국,미국,정보없음,판씨네마(주),15세이상관람가,멜로/로맨스,캐스틸 랜던,"조세핀 랭포드,히어로 파인즈 티핀"
1514,1514,옐라,정보없음,638000,0.00%,10617600,108,1296,1,7,독일,독일,정보없음,M&M 인터내셔널,정보없음,멜로/로맨스,크리스티안 펫졸드,"니나 호스,데비드 스트리에소브"
1515,1514,욕망의 모호한 대상,1999-03-27,741000,0.00%,796000,108,114,1,2,프랑스,"프랑스,스페인","그리니치 필름 프로덕션,인시네컴페니인더스트리얼",정보없음,18세 미만인 자는 관람할 수 없는 등급,드라마,루이스 브뉘엘,"페르난도 레이,캐롤 부케"
1516,1514,자매의 화원,정보없음,238500,0.00%,5012500,108,2492,1,10,한국,한국,정보없음,정보없음,정보없음,드라마,신상옥,정보없음
1517,1514,황색 하늘,정보없음,272500,0.00%,640500,108,292,1,6,미국,미국,정보없음,정보없음,정보없음,서부극(웨스턴),윌리엄 A. 웰만,"그레고리 펙,앤 박스터"
1518,1519,SIPFF2022 한국단편경쟁 1,정보없음,1070000,0.00%,1070000,107,107,1,2,한국,한국,정보없음,정보없음,정보없음,기타,김나영,최지헌
1519,1519,내가 날 부를 때,2021-09-09,1070000,0.00%,42048490,107,4524,1,3,중국,중국,정보없음,(주)영화특별시에스엠씨,12세이상관람가,드라마,정보없음,"장자풍,주원원"
1520,1519,마부,정보없음,245500,0.00%,20548500,107,10831,1,17,한국,한국,화성영화,정보없음,미정,드라마,강대진,"김승호,신영균,황정순"
1521,1519,서울인디애니페스트2022 개막작 섹션,정보없음,743000,0.00%,743000,107,107,1,1,기타,기타,정보없음,정보없음,정보없음,애니메이션,정보없음,정보없음
1522,1519,소설가 구보의 하루,2021-12-09,721000,0.00%,28911470,107,3984,6,48,한국,한국,영화사 다동극장,필름다빈,12세이상관람가,드라마,임현묵,"박종환,김새벽,기주봉,문창길,류제승,김경익,정민결,박혜진,이명희,윤상현,정해성,유미란,백승철,박현일,최해신,이의선,이유하,이경훈,정해원,박지현,민채은,이문주,배기림,기도영,김요한"
1523,1519,욕창,2020-07-02,1167000,0.00%,13190580,107,1651,1,1,한국,한국,정보없음,필름다빈,12세이상관람가,드라마,심혜정,"김종구,강애심,전국향,김도영,김재록,권미아,이재인,김주아,유용우,강말금,김정현,이상현,이기열,김용래,조병희,정기현,정승원,박준식,신민임,김해련,이영자,이은정,김홍빈,임승미,차경희,김용준,홍지석,이소연,김정호"
1524,1519,장희빈,정보없음,214000,0.00%,13715000,107,6845,1,9,한국,한국,화성영화,정보없음,정보없음,사극,정창화,"김진규,김지미,주증녀"
1525,1519,회전목마,정보없음,321000,0.00%,321000,107,107,1,4,헝가리,헝가리,정보없음,정보없음,정보없음,드라마,정보없음,정보없음
1526,1527,BISFF2022 리턴즈! 부산국제단편영화제 순회상영회 - 국내 수상작 2,정보없음,829000,0.00%,829000,106,106,1,7,한국,한국,정보없음,정보없음,정보없음,기타,정보없음,정보없음
1527,1527,바운더리,정보없음,598000,0.00%,1110000,106,170,1,2,한국,한국,정보없음,정보없음,정보없음,다큐멘터리,윤가현,정보없음
1528,1527,세브린느,1971-05-08,730000,0.00%,3058000,106,560,1,2,프랑스,프랑스,정보없음,정보없음,12세관람가,드라마,루이스 브뉘엘,"장 소렐,까뜨린느 드뇌브"
1529,1527,소년시절의 너,2020-07-09,864000,0.00%,677111830,106,80613,1,5,중국,중국,정보없음,"(주)영화특별시에스엠씨,(주)콘텐츠패밀리",15세이상관람가,멜로/로맨스,증국상,주동우
1530,1527,악의 화원,정보없음,267500,0.00%,4081500,106,2013,1,6,미국,미국,정보없음,정보없음,정보없음,액션,헨리 해서웨이,정보없음
1531,1527,오데트,정보없음,726000,0.00%,726000,106,106,1,1,덴마크,덴마크,정보없음,정보없음,정보없음,드라마,칼 테오도르 드레이어,"한네 아그슨,에밀 하스 크리스텐센,프레벤 레어도르프 라이"
1532,1527,인어; 바다를 부른 여인,2022-11-09,1466200,0.00%,1466200,106,106,8,40,한국,한국,창작집단 꼴,(주)더존크리에이티브,15세이상관람가,멜로/로맨스,손현규,"박희정,조남융,김시유,김예림"
1533,1527,청춘 잔혹 이야기,정보없음,722000,0.00%,722000,106,106,1,2,일본,일본,정보없음,정보없음,정보없음,기타,오시마 나기사,"카와즈 유스케,쿠와노 미유키,쿠가 요시코"
1534,1527,추억의 검정고무신,2020-11-19,647000,0.00%,162730100,106,20219,1,4,한국,한국,(주)대교 미디어콘텐츠사업본부,(주)대교 미디어콘텐츠사업본부,전체관람가,애니메이션,송정율,"박지윤,오인실,유해무,손정아,박영재,오수경,배정미,최정호,선은혜,서지연,석승훈,홍진욱"
1535,1527,출발,정보없음,696000,0.00%,696000,106,106,1,2,벨기에,벨기에,정보없음,정보없음,정보없음,드라마,저지 스콜리모우스키,장 피에르 레오
1536,1537,맘마 로마,정보없음,653000,0.00%,653000,105,105,2,5,이탈리아,이탈리아,정보없음,정보없음,정보없음,드라마,피에르 파올로 파솔리니,"안나 마냐니,프랑코 치티,에토레 가로포로"
1537,1537,전장이여 영원히,정보없음,105000,0.00%,4307000,105,2206,1,4,미국,미국,정보없음,정보없음,정보없음,드라마,필 칼슨,"제프리 헌터,데이비드 잰슨"
1538,1537,포에버 모차르트,정보없음,705000,0.00%,932000,105,145,1,2,스위스,"스위스,프랑스",정보없음,정보없음,정보없음,코미디,장 뤽 고다르,정보없음
1539,1540,공작부인,정보없음,208000,0.00%,2490000,104,1148,1,9,미국,미국,정보없음,정보없음,정보없음,멜로/로맨스,윌리엄 와일러,"월터 휴스톤,루스 차터튼"
1540,1540,미스비헤이비어,2020-05-27,977500,0.00%,235399360,104,28988,1,2,영국,영국,정보없음,판씨네마(주),15세이상관람가,드라마,필립파 로소프,"키이라 나이틀리,제시 버클리,구구 바샤-로,수키 워터하우스,레슬리 맨빌,킬리 호위스,리스 이판,그렉 키니어,필리스 로건"
1541,1540,필로포비아,2021-12-30,736400,0.00%,1288900,104,162,7,53,영국,영국,정보없음,(주)드림팩트엔터테인먼트,청소년관람불가,코미디,정보없음,정보없음
1542,1543,바람이 우리를 데려다 주리라,2002-11-22,663000,0.00%,8080000,103,1131,1,5,이란,이란,정보없음,㈜영화사 백두대간,전체관람가,드라마,압바스 키아로스타미,압바스 키아로스타미
1543,1543,사랑의 집회,정보없음,664000,0.00%,709500,103,117,1,5,이탈리아,이탈리아,정보없음,정보없음,정보없음,다큐멘터리,피에르 파올로 파솔리니,정보없음
1544,1543,"씨 유 프라이데이, 로빈슨",정보없음,687000,0.00%,687000,103,103,1,2,프랑스,"프랑스,스위스,이란",정보없음,정보없음,정보없음,다큐멘터리,정보없음,장 뤽 고다르
1545,1543,"오렌지필름 기획전 - 기꺼이, 사랑: 조현철 배우전",정보없음,916000,0.00%,916000,103,103,1,5,한국,한국,정보없음,정보없음,정보없음,기타,정보없음,정보없음
1546,1543,오른쪽에 주의하라,정보없음,662000,0.00%,805000,103,130,1,2,프랑스,"프랑스,스위스",정보없음,정보없음,정보없음,코미디,장 뤽 고다르,"제인 버킨,도미니크 라바낭"
1547,1543,욕망이라는 이름의 전차,정보없음,121000,0.00%,27586000,103,12078,1,10,미국,미국,워너 브러더스 픽쳐스,정보없음,연소자관람불가,드라마,엘리아 카잔,"비비안 리,말론 브란도"
1548,1549,무법자의 날,정보없음,260000,0.00%,496000,102,152,1,6,미국,미국,정보없음,정보없음,정보없음,서부극(웨스턴),안드레 드 토스,정보없음
1549,1549,"사비나: 그리스도를 위한 고난, 나치 시대",2021-11-25,298000,0.00%,29497840,102,2986,2,21,미국,미국,정보없음,커넥트픽쳐스(주),12세이상관람가,드라마,존 그루터스,"라루카 보테즈,에밀 만다나크,가브리엘 코스틴"
1550,1549,섹슈얼파티,2022-07-27,342000,0.00%,342000,102,102,5,45,스페인,스페인,정보없음,(유)조이앤시네마,청소년관람불가,멜로/로맨스,정보없음,정보없음
1551,1549,스토리업쇼츠 섹션2: 만나줘요! Yi Ok Seop's choice,정보없음,1021000,0.00%,1021000,102,102,1,1,한국,한국,정보없음,정보없음,정보없음,기타,정보없음,정보없음
1552,1549,아이다호,정보없음,742000,0.00%,53650900,102,6669,1,2,미국,미국,정보없음,정보없음,정보없음,기타,구스 반 산트,정보없음
1553,1549,어두운 통로,정보없음,204000,0.00%,5553000,102,2330,1,6,미국,미국,정보없음,정보없음,정보없음,스릴러,델머 데이브즈,"험프리 보가트,로렌 바콜"
1554,1555,당신얼굴 앞에서,2021-10-21,816000,0.00%,46753950,101,5306,2,37,한국,한국,(주)영화제작전원사,"(주)영화제작전원사 ,(주)콘텐츠판다",15세이상관람가,드라마,홍상수,"이혜영,조윤희,권해효,신석호,김새벽,하성국,서영화,이은미,강이서,김시하,최재현"
1555,1555,버텨내고 존재하기,정보없음,747000,0.00%,747000,101,101,1,5,한국,한국,정보없음,정보없음,정보없음,다큐멘터리,정보없음,정보없음
1556,1555,아이 캔 온리 이매진,2018-06-21,810000,0.00%,266671260,101,35083,2,5,미국,미국,정보없음,"(주)영화사 그램,TCO(주)더콘텐츠온,(재)CBS",12세이상관람가,드라마,"앤드류 어윈,존 어윈","J. 마이클 핀리,데니스 퀘이드,매들린 캐롤,트레이스 에드킨스,클로리스 리치먼"
1557,1555,우작,2004-11-05,695000,0.00%,6600000,101,1046,1,2,터키,터키,엔비시 스튜디오즈,(주)문필름코리아,15세관람가,드라마,누리 빌제 세일란,"무자페르 오즈데미르,에민 토프락"
1558,1555,지상 최대의 작전,정보없음,252500,0.00%,18643500,101,9098,1,6,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음
1559,1555,트리스타나,정보없음,610000,0.00%,610000,101,101,1,5,스페인,"스페인,이탈리아,프랑스",정보없음,정보없음,정보없음,드라마,루이스 브뉘엘,"페르난도 레이,프랑코 네로"
1560,1561,1945,정보없음,391000,0.00%,391000,100,100,1,3,헝가리,헝가리,정보없음,정보없음,정보없음,드라마,정보없음,정보없음
1561,1561,7인의 악인전,2022-03-24,500000,0.00%,500000,100,100,5,5,중국,중국,정보없음,비케이 시네윈,15세이상관람가,액션,정보없음,정보없음
1562,1561,BISFF2022 리턴즈! 부산국제단편영화제 순회상영회 - 해외 수상작,정보없음,761000,0.00%,761000,100,100,1,7,기타,기타,정보없음,정보없음,정보없음,기타,정보없음,정보없음
1563,1561,BLIFF2022 락스퍼 특선 단편모음,정보없음,1100000,0.00%,1100000,100,100,1,1,기타,기타,정보없음,정보없음,정보없음,다큐멘터리,정보없음,정보없음
1564,1561,DIFF2022 로컬존1,정보없음,500000,0.00%,500000,100,100,1,1,한국,한국,정보없음,정보없음,정보없음,기타,정보없음,정보없음
1565,1561,SIPFF2022 거대한 자유(PS),정보없음,1000000,0.00%,1000000,100,100,1,1,기타,기타,정보없음,정보없음,정보없음,기타,정보없음,정보없음
1566,1561,SISFF2022 한국단편경쟁 3,정보없음,600000,0.00%,600000,100,100,1,2,한국,한국,정보없음,정보없음,정보없음,기타,정보없음,정보없음
1567,1561,구멍친구,2022-08-05,500000,0.00%,500000,100,100,5,5,한국,한국,(주)룬컴퍼니,(주)룬컴퍼니,청소년관람불가,성인물(에로),이시영,정보없음
1568,1561,그랑블루 리마스터링 감독판,2013-07-25,586000,0.00%,171503479,100,22479,1,3,프랑스,"프랑스,이탈리아",정보없음,(주)팝파트너스,15세이상관람가,멜로/로맨스,뤽 베송,"장 르노,장 마크 바,로잔나 아퀘트"
1569,1561,내 학생의 엄마 6,2022-06-24,500000,0.00%,500000,100,100,5,5,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,성인물(에로),김환,정보없음
1570,1561,너희 아빠 맛있더라,2022-05-04,500000,0.00%,500000,100,100,5,5,한국,한국,(주)코빈커뮤니케이션즈,(주)코빈커뮤니케이션즈,청소년관람불가,성인물(에로),용PD,정보없음
1571,1561,노래방 : 화끈한 여자들 3,2022-04-29,500000,0.00%,500000,100,100,5,5,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,성인물(에로),유해종,정보없음
1572,1561,더 모텔,2022-01-27,500000,0.00%,500000,100,100,5,5,영국,영국,정보없음,(주)제이에이와이이엔터테인먼트,청소년관람불가,스릴러,정보없음,정보없음
1573,1561,도진강호,2022-04-21,500000,0.00%,500000,100,100,5,5,중국,중국,정보없음,초코필름,15세이상관람가,액션,정보없음,정보없음
1574,1561,돌아온 사나이,1960-10-14,219500,0.00%,3973500,100,1977,1,15,한국,한국,신필름,정보없음,정보없음,드라마,김수용,"최은희,김진규"
1575,1561,둔덕 가시거리,2022-05-06,500000,0.00%,500000,100,100,5,5,한국,한국,(주)룬컴퍼니,(주)룬컴퍼니,청소년관람불가,성인물(에로),이시영,정보없음
1576,1561,둔덕 사돈처녀,2022-03-04,500000,0.00%,500000,100,100,5,5,한국,한국,(주)룬컴퍼니,(주)룬컴퍼니,청소년관람불가,성인물(에로),이시영,정보없음
1577,1561,무딕: 고향으로 가는 길,정보없음,1200000,0.00%,1576000,100,147,1,1,인도네시아,인도네시아,정보없음,정보없음,정보없음,드라마,아드리얀토 데오,정보없음
1578,1561,미션 투 베를린,2022-09-07,500000,0.00%,500000,100,100,5,5,영국,영국,정보없음,(주)제이에이와이이엔터테인먼트,12세이상관람가,전쟁,칼럼 번,칼럼 번
1579,1561,미용실 유부녀들,2022-04-06,500000,0.00%,500000,100,100,5,5,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,성인물(에로),이연규,정보없음
1580,1561,미인도: 와신상담,2022-08-04,500000,0.00%,500000,100,100,5,5,중국,중국,정보없음,초코필름,15세이상관람가,액션,정보없음,진소춘
1581,1561,밀접접촉,2022-01-28,500000,0.00%,500000,100,100,5,5,한국,한국,(주)룬컴퍼니,(주)룬컴퍼니,청소년관람불가,성인물(에로),이시영,정보없음
1582,1561,밤쉘: 세상을 바꾼 폭탄선언,2020-07-08,1300000,0.00%,1546525340,100,182366,1,1,미국,"미국,캐나다",정보없음,(주)홈초이스,15세이상관람가,드라마,제이 로치,"샤를리즈 테론,니콜 키드먼,마고 로비"
1583,1561,벽혈금의위,2022-09-08,500000,0.00%,500000,100,100,5,5,중국,중국,정보없음,초코필름,15세이상관람가,액션,정보없음,정보없음
1584,1561,불량탐정 캠코인,2022-01-21,500000,0.00%,500000,100,100,5,5,한국,한국,(주)룬컴퍼니,(주)룬컴퍼니,청소년관람불가,성인물(에로),리차드 킴,정보없음
1585,1561,상록수,1961-09-20,230000,0.00%,8414000,100,4189,1,7,한국,한국,신필름,정보없음,기타,드라마,신상옥,"허장강,최은희"
1586,1561,세 아내에게 온 편지,정보없음,200000,0.00%,2854000,100,1259,1,9,미국,미국,정보없음,정보없음,정보없음,드라마,조셉 L. 맨키위즈,"지네 크레인,린다 다넬,앤 소든"
1587,1561,섹스 셰어하우스,2022-06-03,500000,0.00%,500000,100,100,5,5,한국,한국,(주)코빈커뮤니케이션즈,(주)코빈커뮤니케이션즈,청소년관람불가,성인물(에로),김덕,정보없음
1588,1561,섹스마스터,2022-04-22,500000,0.00%,500000,100,100,5,5,한국,한국,(주)룬컴퍼니,(주)룬컴퍼니,청소년관람불가,성인물(에로),리차드 킴,임초희
1589,1561,수호무적,2022-01-13,500000,0.00%,500000,100,100,5,5,중국,중국,정보없음,(주)제이에이와이이엔터테인먼트,15세이상관람가,액션,정보없음,정보없음
1590,1561,슈퍼 후?,2022-08-30,500000,0.00%,500000,100,100,5,5,프랑스,프랑스,정보없음,(주)액티버스엔터테인먼트,15세이상관람가,코미디,필리프 라슈,"필리프 라슈,줄리앙 아루티,타렉 보달리,엘로디 퐁탕,알리스 뒤푸"
1591,1561,십개월의 미래,2021-10-14,852000,0.00%,110183180,100,15531,1,4,한국,한국,한국예술종합학교 산학협력단,그린나래미디어(주),12세이상관람가,드라마,남궁선,"최성은,서영주,유이든,백현진,권아름,손성찬,김근영,오태은,송경의,조형찬,방주환,허경미,김나연,배영란,김완규,고영찬,김동준,최수아,김도연,정은,임만상,탁세웅,정하은,황호윤,김윤호,이가영,김혜인,안소현,김나경,황민하,박은영,정지연,문주희,조현진,우경희,정산희,유영,김지영,김수영,한지혜,손연지,김순모,김종우,정한결,김창훈,김지열,정용현,남궁선,최시형,김성혁,정희경"
1592,1561,쌍화점,2022-09-08,500000,0.00%,500000,100,100,5,5,중국,중국,정보없음,(주)액티버스엔터테인먼트,15세이상관람가,드라마,정보없음,정보없음
1593,1561,아내의 질문,2022-07-15,500000,0.00%,500000,100,100,5,5,한국,한국,(주)룬컴퍼니,(주)룬컴퍼니,청소년관람불가,성인물(에로),리차드 킴,정보없음
1594,1561,아르키메데스의 대전,2022-11-16,658500,0.00%,658500,100,100,4,56,일본,일본,정보없음,(주)미디어캐슬,15세이상관람가,드라마,야마자키 타카시,"스다 마사키,하마베 미나미,에모토 타스쿠,쿠니무라 준"
1595,1561,아일라,2018-06-21,1100000,0.00%,333735900,100,43945,1,2,터키,터키,정보없음,(주)영화사 빅,15세이상관람가,드라마,칸 울카이,"김설,이스마일 하지오글루"
1596,1561,애무의 신,2022-05-20,500000,0.00%,500000,100,100,5,5,한국,한국,(주)룬컴퍼니,(주)룬컴퍼니,청소년관람불가,성인물(에로),리차드 킴,임초희
1597,1561,야연2,2022-02-22,500000,0.00%,500000,100,100,5,5,중국,중국,정보없음,초코필름,15세이상관람가,액션,정보없음,정보없음
1598,1561,어라이즈,2022-04-07,500000,0.00%,500000,100,100,5,5,호주,호주,정보없음,(주)제이에이와이이엔터테인먼트,15세이상관람가,미스터리,정보없음,정보없음
1599,1561,어쩌다 여전사,정보없음,1200000,0.00%,1576000,100,147,1,1,태국,태국,정보없음,정보없음,정보없음,액션,정보없음,정보없음
1600,1561,언플랜드,2020-12-17,1100000,0.00%,123292160,100,14564,1,1,미국,미국,정보없음,(주)영화사오원,15세이상관람가,드라마,"척 콘젤만,캐리 솔로몬","애슐리 브래처,로비아 스캇,브룩스 라이언,엠마 엘리 로버츠,자레드 랏츠"
1601,1561,여왕벌,정보없음,200000,0.00%,898000,100,449,1,5,미국,미국,정보없음,정보없음,정보없음,정보없음,레이널드 맥두걸,조안 크로포드
1602,1561,옆집 부부와 구멍 깐부,2022-02-04,500000,0.00%,500000,100,100,5,5,한국,한국,두리컴,(주)코빈커뮤니케이션즈,청소년관람불가,성인물(에로),문정동 쪼형,정보없음
1603,1561,"오노다- 정글에서 보낸 10,000일",정보없음,1100000,0.00%,1100000,100,100,1,1,프랑스,프랑스,정보없음,주식회사 더쿱,15세이상관람가,드라마,정보없음,정보없음
1604,1561,오피스텔 여대생들,2022-05-25,500000,0.00%,500000,100,100,5,5,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,성인물(에로),유해종,정보없음
1605,1561,왕좌의 법칙,2022-07-21,500000,0.00%,500000,100,100,5,5,카자흐스탄,카자흐스탄,정보없음,(주)액티버스엔터테인먼트,15세이상관람가,전쟁,루스템 압드라쉐프,"예르크블란 데이로프,자리나 이바"
1606,1561,욕망의 법칙,정보없음,605000,0.00%,605000,100,100,2,12,스페인,스페인,정보없음,해피송,정보없음,멜로/로맨스,페드로 알모도바르,"안토니오 반데라스,유세비오 폰셀라,카르멘 마우라"
1607,1561,유산으로 남겨준 새엄마,2022-03-02,500000,0.00%,500000,100,100,5,5,한국,한국,(주)코빈커뮤니케이션즈,(주)코빈커뮤니케이션즈,청소년관람불가,성인물(에로),홍기환,정보없음
1608,1561,인비저블 킬러,2022-03-03,500000,0.00%,500000,100,100,5,5,영국,영국,정보없음,(주)액티버스엔터테인먼트,15세이상관람가,액션,저스틴 에드가,정보없음
1609,1561,일본의 밤과 안개,정보없음,679000,0.00%,679000,100,100,1,2,일본,일본,정보없음,정보없음,정보없음,드라마,오시마 나기사,"쿠와노 미유키,와타나베 후미오,츠가와 마사히코"
1610,1561,적인걸: 음양사,2022-09-08,500000,0.00%,500000,100,100,5,5,카자흐스탄,카자흐스탄,정보없음,초코필름,15세이상관람가,액션,정보없음,정보없음
1611,1561,정력대왕 시아버지,2022-04-07,500000,0.00%,500000,100,100,5,5,한국,한국,(주)코빈커뮤니케이션즈,(주)코빈커뮤니케이션즈,청소년관람불가,성인물(에로),한동호,정보없음
1612,1561,정말 먼 곳,2021-03-18,473000,0.00%,87757850,100,11156,1,1,한국,한국,"봄내필름,(주)찰나",그린나래미디어(주),12세이상관람가,드라마,박근영,"강길우,홍경,이상희,기주봉,기도영,최금순,김시하,최원용,최기윤,이정문,박혜정,김인철,오석재,양흥주,김미경,유광수,오미숙,이미경,이상혁,이인자,홍다예,최민우,엄기백,이채경,장홍석,전의자,조항목,최영호,전민우,전해진,노치형,장우진,박철훈,장준휘"
1613,1561,정복자 윌리엄,2022-06-23,500000,0.00%,500000,100,100,5,5,프랑스,프랑스,정보없음,(주)액티버스엔터테인먼트,15세이상관람가,전쟁,파비앙 드루전,정보없음
1614,1561,쩜빠 밧탐방: 영혼의 노래,정보없음,1200000,0.00%,2940000,100,448,1,1,캄보디아,캄보디아,정보없음,정보없음,정보없음,드라마,정보없음,정보없음
